B:28-83, 27-84
T:59-98, 59-94
T:11-58, 12-58
B:17-90, 17-91
T:43-44, 43-44
B:43-44, 43-44
T:34-35, 34-35
B:34-35, 34-35
B:8-89, 7-90
T:38-47, 38-46
T:2-93, 93-93
T:15-81, 16-81
B:8-9, 8-59
B:5-50, 5-99
T:22-99, 22-99
B:22-99, 22-99
B:10-32, 9-80
T:3-97, 3-61
T:15-83, 29-68
T:41-98, 78-93
B:19-89, 10-92
B:22-71, 21-71
T:13-19, 13-14
B:43-82, 43-97
B:49-71, 49-88
B:65-66, 65-91
T:57-91, 86-91
T:16-23, 16-16
T:55-98, 70-96
B:4-5, 4-69
B:10-51, 10-52
B:72-73, 24-73
B:13-87, 12-88
B:27-85, 1-86
T:1-97, 1-2
B:7-97, 6-98
T:41-84, 42-84
B:36-54, 36-62
B:32-88, 22-89
T:6-36, 7-17
T:7-93, 7-8
B:43-85, 14-88
T:20-90, 89-90
B:18-59, 5-59
T:10-63, 10-11
B:95-95, 15-95
T:58-84, 59-59
B:48-51, 48-55
T:67-96, 68-96
B:75-75, 34-76
B:41-42, 19-42
T:16-52, 17-52
T:3-96, 15-96
B:85-87, 9-95
T:8-60, 13-26
T:82-91, 85-91
B:51-52, 51-98
B:37-52, 31-53
B:51-51, 50-72
T:2-55, 51-55
B:11-89, 11-93
B:32-82, 26-82
T:35-93, 36-87
T:3-87, 3-3
T:83-94, 93-94
B:5-98, 4-99
B:48-50, 45-50
T:35-50, 35-43
B:14-43, 5-43
T:9-78, 9-78
B:9-78, 9-78
T:7-73, 72-73
T:42-99, 99-99
B:26-95, 25-98
T:5-62, 61-62
B:28-45, 22-45
B:12-97, 11-97
T:58-77, 58-73
B:36-73, 7-73
T:1-48, 19-48
B:11-37, 11-99
B:2-34, 1-97
T:60-66, 66-66
B:4-4, 3-5
B:94-94, 35-94
B:55-56, 5-56
B:20-93, 20-95
B:86-87, 15-87
T:11-73, 11-42
B:12-94, 2-97
B:18-49, 18-70
T:27-96, 95-96
B:75-94, 6-94
T:19-60, 56-56
T:77-87, 81-87
B:4-7, 3-9
B:10-23, 9-35
T:32-83, 82-83
B:37-66, 37-70
T:39-44, 43-44
T:21-90, 21-73
B:3-3, 3-71
T:18-98, 19-98
T:39-93, 92-93
B:30-91, 6-92
B:39-73, 39-74
T:38-96, 39-56
T:5-91, 6-14
B:38-94, 2-95
T:23-99, 24-74
B:9-90, 8-91
T:8-38, 8-9
T:21-28, 21-23
T:41-51, 50-50
B:7-77, 6-77
B:87-88, 2-88
B:79-79, 11-79
T:4-43, 5-42
B:22-22, 20-24
T:5-56, 5-30
T:43-83, 66-83
T:22-97, 22-89
T:2-92, 3-92
B:19-19, 18-69
T:10-51, 14-51
T:17-97, 17-96
B:7-8, 7-43
B:93-94, 1-94
T:4-98, 4-4
T:79-81, 80-81
B:90-91, 34-91
T:12-78, 12-68
B:14-14, 10-15
T:42-83, 43-79
T:9-62, 9-62
B:9-62, 9-62
T:76-87, 76-76
B:3-11, 2-11
B:28-60, 27-60
T:49-63, 49-62
T:58-69, 65-69
T:2-99, 2-98
B:33-89, 33-97
T:32-47, 32-36
B:56-56, 41-56
T:16-94, 26-74
B:91-91, 10-92
B:8-28, 7-29
T:78-82, 80-82
T:1-72, 1-37
B:24-25, 21-25
B:89-90, 48-90
T:3-74, 3-3
T:41-99, 72-99
B:23-23, 23-92
B:43-67, 28-67
B:5-88, 2-88
B:28-86, 7-86
T:16-80, 16-80
B:16-80, 16-80
B:4-98, 2-98
B:26-69, 26-88
B:72-92, 72-93
B:4-92, 4-93
T:2-97, 3-97
T:41-57, 41-42
T:1-97, 80-97
T:35-38, 36-37
T:10-84, 18-84
T:41-96, 89-95
B:71-72, 56-72
T:57-73, 58-60
B:14-25, 9-25
B:8-9, 8-82
B:20-28, 19-48
T:5-61, 6-60
T:67-76, 76-76
B:91-92, 82-92
B:4-61, 3-73
T:63-78, 64-64
B:54-55, 54-64
T:12-55, 53-53
T:3-85, 23-85
T:26-93, 32-93
T:61-84, 61-83
B:8-77, 8-94
T:18-22, 20-22
T:75-84, 76-76
B:15-75, 5-75
T:3-85, 3-4
B:33-56, 33-89
T:46-77, 76-77
B:57-60, 36-60
T:1-83, 1-52
T:8-51, 8-50
B:27-71, 10-71
T:1-90, 90-90
T:18-37, 19-36
T:9-98, 9-90
B:4-98, 3-99
B:82-82, 53-82
T:75-91, 91-91
B:20-98, 19-98
T:16-42, 41-42
B:61-71, 59-71
T:3-92, 3-4
B:12-47, 12-69
T:1-92, 3-88
B:5-83, 5-89
T:10-51, 50-50
T:37-45, 38-44
T:59-85, 84-85
B:13-86, 12-87
T:61-86, 61-68
T:13-85, 15-85
B:68-69, 33-71
T:55-90, 55-82
T:20-94, 23-94
B:26-78, 26-79
T:14-16, 14-15
T:17-76, 37-65
T:13-71, 13-59
B:37-38, 37-60
T:30-90, 30-71
B:62-74, 33-86
B:39-40, 26-40
T:10-70, 10-10
T:23-86, 29-86
T:30-98, 30-62
T:28-85, 29-83
B:91-92, 12-92
B:3-74, 2-84
T:54-83, 55-55
T:1-98, 97-98
B:3-4, 3-64
T:12-68, 21-47
B:78-79, 37-79
B:10-96, 9-96
T:1-99, 2-99
T:15-90, 60-66
B:75-75, 12-75
T:39-60, 39-50
B:52-63, 36-63
T:38-93, 38-84
B:84-88, 59-97
B:53-93, 17-93
B:94-95, 2-99
T:12-41, 13-41
T:4-81, 18-33
B:23-52, 10-94
B:45-45, 43-45
T:23-34, 25-27
T:91-98, 91-96
B:20-58, 19-58
T:3-96, 4-94
B:78-79, 78-84
B:80-94, 79-97
T:12-79, 78-79
B:29-50, 29-51
B:38-39, 2-39
T:14-65, 14-15
T:50-79, 50-78
T:4-91, 4-12
B:38-39, 38-61
T:15-42, 26-42
B:40-45, 40-61
T:20-35, 25-32
B:15-28, 15-69
B:26-94, 8-94
B:16-94, 3-96
T:16-98, 16-21
T:26-30, 26-27
T:13-99, 85-90
B:12-74, 6-74
T:37-53, 37-38
T:2-79, 2-48
T:7-95, 7-8
T:3-5, 3-4
B:59-92, 2-92
B:4-97, 1-99
B:37-86, 2-86
B:46-47, 9-47
T:20-83, 20-21
T:49-83, 50-70
B:49-89, 45-89
B:7-8, 7-58
B:3-95, 2-95
B:51-63, 51-64
T:19-72, 40-72
B:53-57, 4-80
T:4-98, 7-98
T:5-71, 5-70
T:35-83, 35-66
B:7-59, 7-95
B:7-62, 7-70
B:83-92, 5-92
T:12-95, 12-54
B:37-83, 23-83
T:14-95, 51-95
T:37-98, 70-80
T:3-87, 6-17
B:49-49, 49-79
T:21-40, 22-29
B:18-19, 18-80
B:9-89, 8-90
B:23-24, 23-81
T:27-33, 28-31
T:31-90, 37-90
T:41-42, 41-41
T:7-75, 18-75
B:8-69, 2-82
B:56-96, 11-96
B:18-18, 17-72
